time,mx_cmd,my_cmd,mz_cmd,mx_achieved,my_achieved,mz_achieved,mx_residual,my_residual,mz_residual,residual_norm,left_elevon,right_elevon,rudder,body_flap,left_elevon_target,right_elevon_target,rudder_target,body_flap_target,left_elevon_rate,right_elevon_rate,rudder_rate,body_flap_rate,saturated,rate_limited
4.08,2556.3030558701817,1899.6499367357317,1524.725698456937,2555.7386605186075,1898.5963029177847,1524.0180888050043,0.5643953515741487,1.0536338179470022,0.7076096519326711,1.3890276292098582,0.02047921053659848,-0.08791177488521265,0.06845479249550497,-0.07246510856291485,0.02047921053659848,-0.08791177488521265,0.06845479249550497,-0.07246510856291485,0.002327672636486325,-0.0028804199227648597,0.0199008815121908,0.0005066342083186182,0.0,0.0
4.1,2559.4717075406425,1899.8191811667148,1533.2353257148368,2558.907091272925,1898.7654051754294,1532.523024477963,0.5646162677176108,1.0537759912854199,0.7123012368738273,1.3916207894512493,0.02052412775400951,-0.087965791196274,0.06885154974667497,-0.07245282543555408,0.02052412775400951,-0.087965791196274,0.06885154974667497,-0.07245282543555408,0.0022458608705516053,-0.002700815553067365,0.019837862558499952,0.0006141563680388262,0.0,0.0
4.12,2562.522009695387,1899.9330270049938,1541.7125097704534,2561.9572014877804,1898.8791394041602,1540.9955274359547,0.5648082076068022,1.0538876008336047,0.7169823344986526,1.3941847275572765,0.020567405983459852,-0.08801621243682438,0.06924703849661097,-0.07243839205444196,0.020567405983459852,-0.08801621243682438,0.06924703849661097,-0.07243839205444196,0.0021639114725170716,-0.0025210620275190054,0.01977443749680008,0.0007216690556061112,0.0,0.0
4.14,2565.453821288989,1899.9914709308325,1550.1570712468872,2564.888850142138,1898.937502286956,1549.4354183955563,0.564971146850894,1.0539686438764875,0.7216528513308731,1.3967194195266406,0.020609042567313378,-0.08806303577543283,0.06964125064068853,-0.0724218086727472,0.020609042567313378,-0.08806303577543283,0.06964125064068853,-0.0724218086727472,0.002081829192676285,-0.0023411669304224114,0.019710607203878017,0.0008291690847379851,0.0,0.0
4.16,2568.267006755001,1899.9945112400096,1558.5688314575334,2567.7019016925374,1898.9404921214248,1557.84251876363,0.5651050624637719,1.054019118584847,0.72631269390331,1.399224843722282,0.020649034943076777,-0.08810625853249555,0.07003417809197844,-0.07240307560736066,0.020649034943076777,-0.08810625853249555,0.07003417809197844,-0.07240307560736066,0.0019996187881699337,-0.0021611378531363745,0.019646372564495473,0.0009366532693268204,0.0,0.0
4.18,2570.961436012229,1899.9421478438703,1566.947612409859,2570.396226079367,1898.8881088198573,1566.2166506410979,0.5652099328622171,1.0540390240130364,0.7309617687610626,1.4017009808581742,0.0206873806435317,-0.08814587818037067,0.07042581278140582,-0.07238219323889004,0.0206873806435317,-0.08814587818037067,0.07042581278140582,-0.07238219323889004,0.0019172850227460944,-0.0019809823937559645,0.019581734471368906,0.0010441184235307488,0.0,0.0
4.2,2573.5369844707443,1899.834382269327,1575.2932368091726,2572.9716987328757,1898.7803539092229,1574.5576368267095,0.5652857378686349,1.054028360104212,0.7355999824630999,1.404147813993019,0.020724077296862008,-0.08818189234350625,0.07081614665790967,-0.0723591620116523,0.020724077296862008,-0.08818189234350625,0.07081614665790967,-0.0723591620116523,0.0018348326665154624,-0.0018007081567787686,0.019516693825192416,0.0011515613618874598,0.0,0.0
4.22,2575.993533037645,1899.671217658817,1583.6055280623727,2575.428200578934,1898.6172305311331,1582.8653008207905,0.5653324587110546,1.0539871276839676,0.7402272415822608,1.4065653285134927,0.020759122626775827,-0.08821429879856182,0.07120517168860228,-0.07233398243366462,0.020759122626775827,-0.08821429879856182,0.07120517168860228,-0.07233398243366462,0.0017522664956909698,-0.0016203227527787634,0.019451251534630815,0.0012589788993835893,0.0,0.0
4.24,2578.3309681225633,1899.4526587702082,1591.8843102816868,2577.7656180445383,1898.398743441741,1591.1394668289777,0.5653500780249487,1.0539153284671556,0.7448434527091194,1.408953512130365,0.020792514452623007,-0.08824309547452319,0.07159287985892875,-0.07230665507663314,0.020792514452623007,-0.08824309547452319,0.07159287985892875,-0.07230665507663314,0.0016695912923589754,-0.0014398337980683906,0.019385408516323088,0.0013663678515740685,0.0,0.0
4.26,2580.5491816429167,1899.1787119766625,1600.1294082883915,2579.983843063059,1898.1248990116105,1599.379959765938,0.5653385798577801,1.053812965051975,0.7494485224533491,1.411312354865058,0.02082425068950717,-0.08826828045281068,0.07197926317282656,-0.07227718057594007,0.02082425068950717,-0.08826828045281068,0.07197926317282656,-0.07227718057594007,0.0015868118442081275,-0.0012592489143745111,0.019319165694890728,0.0014737250346535946,0.0,0.0
