time,theta,theta_ref,q,q_measured,moment,moment_cmd,moment_rate,eta,eta_dot,modal_energy,effectiveness,disturbance_moment,controller
6.93,0.0563111607125137,0.05235987755982989,0.04861389510368029,0.04161130002931396,-632.561478077794,-1020.3470499593284,-4572.1190746614975,-0.0018023044262605373,-0.015561322387480746,0.00022502301706094112,0.9927907822949579,0.0,flex_sensor_pd
6.94,0.05679660304158159,0.05235987755982989,0.04847314382309262,0.04148714999440882,-678.1273873063463,-1064.5397456797484,-4556.59092285523,-0.0019577397196039095,-0.015524430730408437,0.00024315180866249834,0.9921690411215843,0.0,flex_sensor_pd
6.95,0.05728059519088167,0.05235987755982989,0.048323866519188415,0.041358065818690885,-723.5319400363591,-1108.5181951396276,-4540.455273001271,-0.0021127661920743736,-0.015479557112216725,0.0002626493356311081,0.9915489352317025,0.0,flex_sensor_pd
6.96,0.05776305212273116,0.05235987755982989,0.04816610787060607,0.04122408632550907,-768.7689215701507,-1152.2749215210115,-4523.698153379166,-0.002267304057062264,-0.015426714544660011,0.00028349312681068446,0.9909307837717509,0.0,flex_sensor_pd
6.97,0.05824388925130715,0.05235987755982989,0.04799991357309168,0.0410852341807092,-813.8319689073129,-1195.8022404913322,-4506.304733716217,-0.0024212738495023095,-0.0153659542052944,0.00030565842005668176,0.9903149046019908,0.0,flex_sensor_pd
6.98,0.05872302245289281,0.05235987755982989,0.04782533035482351,0.0409415162875368,-858.7145637871449,-1239.0922672977981,-4488.259487983202,-0.002574596803523106,-0.01529736459397047,0.00032911824018319526,0.9897016127859076,0.0,flex_sensor_pd
6.99,0.05920036807628517,0.05235987755982989,0.04764240599333773,0.040792924293644894,-903.4100273822331,-1282.1369256147473,-4469.5463595088195,-0.0027271952204246433,-0.015221070443761857,0.00035384349337680497,0.9890912191183014,0.0,flex_sensor_pd
7.0,0.059675842953378994,0.05235987755982989,0.04745118933381078,0.04063943520473348,-947.9115166551393,-1324.927958060534,-4450.148927290616,-0.002878992824585099,-0.015137231397949565,0.0003798030770859346,0.9884840287016596,0.0,flex_sensor_pd
7.01,0.060149364409939385,0.05235987755982989,0.04725173030844841,0.04048101209869351,-992.2120223789523,-1367.4569382901514,-4430.0505723812985,-0.003029915105021598,-0.015046040466122004,0.0004069640042505077,0.9878803395799136,0.0,flex_sensor_pd
7.0200000000000005,0.060620850276572644,0.05235987755982989,0.04704407995672754,0.04031760493352777,-1036.3043688113482,-1409.715284560242,-4409.234643239597,-0.0031798896404669806,-0.014947722273777263,0.0004352915406045636,0.9872804414381321,0.0,flex_sensor_pd
7.03,0.061090218899902786,0.05235987755982989,0.04682829044623502,0.040149151441776235,-1080.1812150008773,-1451.6942746544569,-4387.684618952903,-0.003328846405974602,-0.014842531121019535,0.0004647493536654575,0.9866846143761016,0.0,flex_sensor_pd
7.04,0.06155738915395836,0.05235987755982989,0.04660441509384645,0.03997557810368778,-1123.8350576935297,-1493.385062049365,-4365.384269265246,-0.003476718059224613,-0.01473074886701927,0.0004952996719184286,0.9860931277631015,0.0,flex_sensor_pd
7.05,0.06202228045177169,0.05235987755982989,0.046372508386989156,0.03979680119095617,-1167.2582357973124,-1534.7786931942915,-4342.3178103782675,-0.0036234402048766997,-0.014612682657851083,0.0005269034526156717,0.9855062391804932,0.0,flex_sensor_pd
7.0600000000000005,0.0624848127571901,0.05235987755982989,0.04613262600473593,0.03961272787247741,-1210.442936352656,-1575.86612577262,-4318.4700555343625,-0.00376895163549455,-0.014488662516130051,0.0005595205565354614,0.9849241934580218,0.0,flex_sensor_pd
7.07,0.06294490659689622,0.05235987755982989,0.04588482483847974,0.03942325737329014,-1253.3812019470367,-1616.6382478072987,-4293.826559438071,-0.003913194547754963,-0.014359038811532455,0.0005931099279900811,0.9843472218089802,0.0,flex_sensor_pd
7.08,0.06340248307263184,0.05235987755982989,0.04562916301194536,0.03922828217763151,-1296.06493950331,-1657.0858974694738,-4268.373755627317,-0.004056114732848114,-0.014224179631808567,0.0006276297783318598,0.9837755410686075,0.0,flex_sensor_pd
7.09,0.0638574638736177,0.05235987755982989,0.0453656999003004,0.03902768926687812,-1338.4859303629612,-1697.1998834464525,-4242.099085965128,-0.004197661740173561,-0.014084468074271732,0.0006630377711849317,0.9832093530393058,0.0,flex_sensor_pd
7.1000000000000005,0.06430977128915881,0.05235987755982989,0.045094496148136674,0.038821361383046114,-1380.6358415778395,-1736.971005723462,-4214.991121487833,-0.0043377890136377046,-0.013940299477979017,0.0006992912076266221,0.9826488439454492,0.0,flex_sensor_pd
7.11,0.06475932822142311,0.05235987755982989,0.044815613686102276,0.038609178308495,-1422.5062383169966,-1776.390076633028,-4187.039673915706,-0.004476454000061104,-0.013792078616905047,0.0007363472095566626,0.9820941839997556,0.0,flex_sensor_pd
7.12,0.06520605819837876,0.05235987755982989,0.04452911574597565,0.038391018152516394,-1464.0885972890474,-1815.4479420261464,-4158.235897205077,-0.004613618229406924,-0.013640216874353902,0.0007741628995246126,0.9815455270823723,0.0,flex_sensor_pd
7.13,0.0656498853868736,0.05235987755982989,0.044235066873985054,0.03816675863558951,-1505.3743210750401,-1854.1355024207892,-4128.572378599279,-0.004749247366743343,-0.013485129418656766,0.0008126955753355556,0.9810030105330266,0.0,flex_sensor_pd
7.140000000000001,0.06609073460583823,0.05235987755982989,0.04393353294218992,0.03793627836224885,-1546.3547532621815,-1892.443733985649,-4098.043218714133,-0.004883311236051691,-0.013327232399869037,0.0008519028778208176,0.9804667550557933,0.0,flex_sensor_pd
7.15,0.06652853133959252,0.05235987755982989,0.04362458115775499,0.03769945807373353,-1587.0211942649562,-1930.3637092203198,-4066.644100277472,-0.005015783816186986,-0.013166940186714356,0.0008917429502434019,0.9799368647352521,0.0,flex_sensor_pd
7.16,0.0669632017512337,0.05235987755982989,0.04330828006996325,0.037456181871869866,-1627.3649177172003,-1967.886617197345,-4034.372345224415,-0.005146643209487159,-0.01300466266242974,0.0009321745879061261,0.9794134271620514,0.0,flex_sensor_pd
7.17,0.06739467269608265,0.05235987755982989,0.04298469957482982,0.03720633840597638,-1667.377187316557,-2005.0037832366465,-4001.2269599356614,-0.005275871583710313,-0.01284080259745208,0.000973157376643029,0.9788965136651587,0.0,flex_sensor_pd
7.18,0.06782287173516385,0.05235987755982989,0.04265391091719589,0.036949822014969616,-1707.0492740014624,-2041.7066878887556,-3967.208668490548,-0.0054034550881547514,-0.012675753116058383,0.001014651819000207,0.978386179647381,0.0,flex_sensor_pd
7.19,0.06824772714869322,0.05235987755982989,0.0423159866901992,0.036686533817287065,-1746.3724733403715,-2077.9869851099656,-3932.3199338909035,-0.005529383744982987,-0.01250989527313808,0.001056619447049468,0.977882465020068,0.0,flex_sensor_pd
7.2,0.06866916794954715,0.05235987755982989,0.041971000832035824,0.036416382741726205,-1785.3381230133307,-2113.8365195198962,-3896.5649672959216,-0.0056536513169277245,-0.012343595756243596,0.0010990229209255325,0.9773853947322891,0.0,flex_sensor_pd
7.21,0.06908712389668543,0.05235987755982989,0.041619028619946485,0.036139286492821665,-1823.9376202672302,-2149.2473426400124,-3859.949725389947,-0.005776255152703656,-0.012177204726944047,0.0011418261123332914,0.9768949793891853,0.0,flex_sensor_pd
7.22,0.06950152550849983,0.05235987755982989,0.04126014666137959,0.03585517244494206,-1862.1624392280864,-2184.2117280202465,-3822.4818960856283,-0.005897196011583274,-0.012011053814305608,0.0011849941724341503,0.9764112159536669,0.0,flex_sensor_pd
7.23,0.06991230407606015,0.05235987755982989,0.040894432882302253,0.03556397845987953,-1900.0041479565027,-2218.722185170008,-3784.170872841628,-0.006016477868716801,-0.011845454272050483,0.0012284935836879094,0.9759340885251327,0.0,flex_sensor_pd
7.24,0.07031939167622901,0.05235987755982989,0.04052196651264983,0.03526565362332329,-1937.454425135999,-2252.771472219428,-3745.0277179496197,-0.006134107702885264,-0.011680695309614538,0.001272292195397108,0.975463569188459,0.0,flex_sensor_pd
7.25,0.07072272118461692,0.05235987755982989,0.040142828068923636,0.03496015889624984,-1974.5050762881463,-2286.3526072466407,-3705.065115214734,-0.006250095268471049,-0.011517042605941755,0.0013163592428723932,0.9749996189261158,0.0,flex_sensor_pd
7.26,0.07112222628834915,0.05235987755982989,0.03975709933396568,0.034647467677921165,-2011.1480494133657,-2319.458878217107,-3664.297312521944,-0.0063644528535115995,-0.01135473701343226,0.0013606653503084065,0.9745421885859537,0.0,flex_sensor_pd
7.2700000000000005,0.07151784149861641,0.05235987755982989,0.03936486333395797,0.03432756627785332,-2047.3754499617871,-2352.083851491446,-3622.740054842143,-0.006477195025768829,-0.011193993458010342,0.001405182517628012,0.9740912198969247,0.0,flex_sensor_pd
7.28,0.07190950216298198,0.05235987755982989,0.03896620431271237,0.034000454294797824,-2083.179555044684,-2384.221378868814,-3580.4105082896967,-0.006588338368799177,-0.011035000039810096,0.0014498840917166293,0.9736466465248033,0.0,flex_sensor_pd
7.29,0.0722971444774184,0.05235987755982989,0.03856120770333487,0.033666144901459916,-2118.5528268036414,-2415.8656031435376,-3537.3271758957344,-0.006697901210046815,-0.010877917337499892,0.001494744722626231,0.9732083951598127,0.0,flex_sensor_pd
7.3,0.07268070549804825,0.05235987755982989,0.03814996009736555,0.033324665034358686,-2153.487924861728,-2447.010962163304,-3493.5098058086623,-0.006805903343005349,-0.010722877917793026,0.0015397403054785513,0.9727763866279786,0.0,flex_sensor_pd
7.3100000000000005,0.07306012315256409,0.05235987755982989,0.03773254921151183,0.03297605548890789,-2187.9777177884707,-2477.6521913878214,-3448.9792926742666,-0.006912365745501529,-0.010569986050230986,0.0015848479089376917,0.9723505370179939,0.0,flex_sensor_pd
7.32,0.07343533625130423,0.05235987755982989,0.03730906385210854,0.03262037092045898,-2222.0152935183096,-2507.7843249571765,-3403.7575729838863,-0.007017310296148112,-0.010419317625887912,0.0016300456912522107,0.9719307588154076,0.0,flex_sensor_pd
7.33,0.07380628449796246,0.05235987755982989,0.0368795938774529,0.03225767975269513,-2255.5939686703923,-2537.402695289369,-3357.8675152082724,-0.007120759490992471,-0.010270920277239472,0.0016753128049846037,0.9715169620360301,0.0,flex_sensor_pd
7.34,0.07417290849991105,0.05235987755982989,0.0364442301581763,0.03188806399539206,-2288.707296725973,-2566.502931236287,-3311.3328055580496,-0.007222736162353094,-0.01012481369507608,0.0017206292916508194,0.9711090553505877,0.0,flex_sensor_pd
7.3500000000000005,0.07453514977811844,0.05235987755982989,0.036003064535827314,0.03151161897416478,-2321.3490750282663,-2595.080954836966,-3264.177830229346,-0.0073232632017883464,-0.009980990137027853,0.0017659759675830774,0.9707069471928467,0.0,flex_sensor_pd
7.36,0.07489295077664457,0.05235987755982989,0.03555618977985154,0.031128452975394617,-2353.513350578298,-2623.132976716011,-3216.427555003156,-0.007422363289081173,-0.009839415121015382,0.0018113343024050294,0.9703105468436753,0.0,flex_sensor_pd
7.37,0.07524625487169881,0.05235987755982989,0.03510369954316406,0.03073868681007473,-2385.194424609026,-2650.6554901837058,-3168.107403072827,-0.007520058629050621,-0.009700028295754058,0.0018566862915686932,0.9699197654837975,0.0,flex_sensor_pd
7.38,0.0755950063802474,0.05235987755982989,0.0346456883165188,0.030342453300821377,-2416.38685592874,-2677.6452641023943,-3119.2431319713705,-0.00761637069791668,-0.009562744479327602,0.0019020143244471372,0.9695345172083333,0.0,flex_sensor_pd
7.390000000000001,0.07593915056815949,0.05235987755982989,0.03418225138188628,0.029939896696769448,-2447.0854630333733,-2704.0993345912384,-3069.860710463354,-0.0077113200008498695,-0.009427454855815193,0.0019473010495054482,0.9691547199966005,0.0,flex_sensor_pd
