time,velocity,velocity_ref,altitude,altitude_ref,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,throttle_cmd,throttle_unsat,speed_error,speed_integral,saturation_active,qbar
4.48,1786.188602681492,2250.0,29867.980794086496,30000.0,-0.0241404602933846,0.04736739290364264,0.023226932610258037,0.005246670563759752,-0.023821462631130514,-0.0011250503300973245,-0.023945650568579516,0.62,1.206532884406066,463.81139731850794,2178.294431092808,1.0,30857.70362643159
4.5200000000000005,1786.5117421692553,2250.0,29866.251959350946,30000.0,-0.02425429524732056,0.04768891772943708,0.023434622482116512,0.005136917250612053,-0.023874351280429754,-0.0012970073078607625,-0.02401477877241919,0.62,1.2076897618228568,463.4882578307447,2196.833961406038,1.0,30876.28257185131
4.5600000000000005,1786.834853660307,2250.0,29864.514701082655,30000.0,-0.02436750946770808,0.04800533384460141,0.02363782437689332,0.0050223297100992085,-0.02393464348390901,-0.0014692006281411159,-0.024091290564918138,0.62,1.208845576961114,463.1651463396929,2215.3605672596254,1.0,30894.905858687165
4.6000000000000005,1787.157937158892,2250.0,29862.769060406474,30000.0,-0.02448011274275433,0.04831646565623922,0.023836352913484887,0.0049033080979695,-0.024002338927591016,-0.0016412289163996732,-0.024175148488106608,0.62,1.2100003299105084,462.8420628411079,2233.8742497732696,1.0,30913.573378500023
4.64,1787.4809927059691,2250.0,29861.015077760843,30000.0,-0.024592115158426606,0.04862215395788096,0.024030038799454354,0.004780256540449292,-0.024077420205387945,-0.0018126974820798416,-0.024266298710213942,0.62,1.211154020712968,462.51900729403087,2252.375010065031,1.0,30932.28502682858
4.68,1787.8040203777002,2250.0,29859.25279287705,30000.0,-0.02470352706752079,0.048922256037006055,0.02421872896948526,0.004653582116782805,-0.024159853128478986,-0.001983219154994681,-0.024364671410750712,0.62,1.2123066493645174,462.1959796222998,2270.862849249923,1.0,30951.0407032357
4.72,1788.1270202838293,2250.0,29857.482244760715,30000.0,-0.024814359058582067,0.04921664574187323,0.024402286683291162,0.004523693849833441,-0.024249587069883772,-0.0021524150916709317,-0.024470181197790302,0.62,1.2134582158172653,461.8729797161707,2289.3377684385696,1.0,30969.84031134188
4.76,1788.4499925659584,2250.0,29855.70347167546,30000.0,-0.024924621924753358,0.04950521350810255,0.024580591583349194,0.004391001707016081,-0.024346555342898715,-0.0023199155500971177,-0.024582727555992293,0.62,1.2146087199815323,461.5500074340416,2307.799768735931,1.0,30988.68375884551
4.8,1788.7729373957277,2250.0,29853.916511128824,30000.0,-0.025034326632625992,0.04978786634554127,0.024753539712915273,0.004255915613774834,-0.024450675612001798,-0.002485360631528683,-0.024702195323846324,0.62,1.2157581617281081,461.2270626042723,2326.248851240102,1.0,31007.570957530865
4.84,1789.0958549729096,2250.0,29852.121399860363,30000.0,-0.02514348429116611,0.050064527786032154,0.024921043494866037,0.0041188444817613565,-0.02456185033477359,-0.0026484009880050783,-0.024828455198575076,0.62,1.216906540890626,460.9041450270904,2344.6850170411853,1.0,31026.501823263363
