time,controller,downrange,altitude,velocity,gamma,gamma_rate_cmd,qbar,heat_rate,heat_load,load_factor,corridor_lower,corridor_upper,corridor_margin
33.4,1.0,104881.39289280608,43206.36203878452,3157.340532913434,-0.10007937993019009,0.0005127242354566723,15121.619357914798,176830.49816562375,4159253.2416660977,1.1600724877561308,37442.121716332396,60955.22620819127,5764.240322452126
33.5,1.0,105195.54520344998,43174.82461591346,3157.286284314344,-0.10002810750664443,0.0005099042521616608,15187.478405758535,177209.0642324756,4176974.148089345,1.1591668691247277,37441.0465382648,60955.192149781426,5733.778077648654
33.6,1.0,105509.69369304752,43143.30380129013,3157.2313231408007,-0.09997711708142826,0.0005070997787747716,15253.582209036635,177588.1155275755,4194732.959642103,1.158266207468379,37439.95727817028,60955.15763079732,5703.34652311985
33.7,1.0,105823.83828085134,43111.799513218044,3157.175647204485,-0.09992640710355077,0.00050431072999151,15319.931619772333,177967.65233233012,4212529.724875336,1.1573704757596228,37438.8538942795,60955.12264934679,5672.9456189385455
33.800000000000004,1.0,106137.97888595743,43080.311670500894,3157.1192543070024,-0.09987597603055162,0.0005015370209765567,15386.5274924716,178347.67492212547,4230364.492367548,1.156479647117804,37437.736344650926,60955.08720352247,5642.575325849968
33.9,1.0,106452.11542730368,43048.840192440024,3157.0621422398676,-0.09982582232845397,0.0004987785673611856,15453.370684124026,178728.18356628134,4248237.3107241765,1.1555936948082808,37436.604587170696,60955.05129140168,5612.2356052693285
34.0,1.0,106766.24782366848,43017.38499883196,3157.004308784487,-0.09977594447171785,0.0004960352852406993,15520.462054203632,179109.17852800543,4266148.228576977,1.154712592241638,37435.458579552615,60955.01491104635,5581.926419279349
34.1,1.0,107080.37599366927,42985.94600996591,3156.945751712142,-0.09972634094319378,0.0004933070911718755,15587.802464669658,179490.66006434773,4284097.294583412,1.153836312972904,37434.29827933799,60954.97806050295,5551.647730627919
34.2,1.0,107394.49985576107,42954.52314662129,3156.886468783972,-0.0996770102340766,0.0004905939021704305,15655.39277996724,179872.6284261542,4302084.557426027,1.1529648307007696,37433.12364389565,60954.94073780233,5521.399502725646
34.300000000000004,1.0,107708.6193282351,42923.11633006528,3156.826457750958,-0.09962795084385956,0.00048789563570849313,15723.233867028133,180255.08385802092,4320110.065811829,1.152098119266814,37431.93463042179,60954.9029409597,5491.181699643486
34.4,1.0,108022.73432921735,42891.72548205036,3156.765716353906,-0.09957916128028871,0.0004852122097120964,15791.326595271255,180638.02659824767,4338173.868471653,1.1512361526547341,37430.73119593994,60954.864667974456,5460.994286110421
34.5,1.0,108336.84477666709,42860.35052481192,3156.7042423234284,-0.0995306400593175,0.0004825435425586799,15859.671836603218,181021.45687879086,4356276.014159532,1.1503789049895754,37429.5132973009,60954.825916830174,5430.837227511016
34.6,1.0,108650.9505883755,42828.9913810658,3156.642033379928,-0.09948238570506163,0.0004798895530746069,15928.270465418898,181405.374925218,4374416.551652054,1.1495263505369715,37428.280891182636,60954.78668549443,5400.710489883168
34.7,1.0,108965.05168196424,42797.64797400594,3156.5790872335806,-0.09943439674975417,0.00047725016053269675,15997.123358601766,181789.78095665964,4392595.52974772,1.1486784637023837,37427.033934090236,60954.74697191874,5370.614039915701
34.800000000000004,1.0,109279.14797488398,42766.32022730192,3156.515401584319,-0.0993866717337009,0.000474625284649767,16066.231395524355,182174.6751857635,4410812.997266296,1.1478352190303462,37425.77238235585,60954.70677403848,5340.547844946072
34.9,1.0,109593.23938441303,42735.00806509667,3156.4509741218144,-0.09933920920523592,0.0004720148455841932,16135.595458048476,182560.0578186465,4429069.003048161,1.1469965912037159,37424.4961921386,60954.666089772734,5310.511872958072
35.0,1.0,109907.3258276559,42703.71141200405,3156.385802525459,-0.0992920077206775,0.0004694187639334802,16205.216430525536,182945.92905484795,4447363.595953646,1.146162555042925,37423.20531942453,60954.62491702424,5280.506092579519
35.1,1.0,110221.4072215419,42672.43019310651,3156.3198844643503,-0.09924506584428416,0.00046683696073184644,16275.09519979673,183332.289087282,4465696.824862374,1.1453330855052393,37421.89972002656,60954.58325367926,5250.530473079954
35.2,1.0,110535.48348282365,42641.164333952795,3156.2532175972724,-0.09919838214821097,0.0004642693574478209,16345.232655193142,183719.13810219,4484068.738672593,1.1445081576840168,37420.57934958438,60954.5410976075,5220.584984368412
35.300000000000004,1.0,110849.55452807574,42609.913760555566,3156.1857995726787,-0.0991519552124662,0.00046171587598185825,16415.6296885358,184106.4762790924,4502479.386300502,1.1436877468079765,37419.24416356443,60954.49844666199,5190.669596991138
35.4,1.0,111163.62027369329,42578.67839938914,3156.117628028675,-0.09910578362486801,0.0004591764386639578,16486.287194135744,184494.30379074145,4520928.816679576,1.1428718282404633,37417.89411725981,60954.45529867899,5160.784282129323
35.5,1.0,111477.68063589053,42547.45817738716,3156.048700593002,-0.09905986598100161,0.00045665096825130597,16557.206068793912,184882.62080307264,4539417.0787598835,1.1420603774787244,37416.52916579028,60954.41165147788,5130.929011596883
35.6,1.0,111791.73553069938,42516.253021940356,3155.979014883018,-0.09901420088417648,0.00045413938792592375,16628.387211801055,185271.42747515652,4557944.221507399,1.141253370153184,37415.14926410212,60954.36750286105,5101.103757838238
35.7,1.0,112105.78487396806,42485.06286089423,3155.9085685056803,-0.09896878694538389,0.00045164162129233113,16699.8315249375,185660.72395915017,4576510.2939033145,1.140450782026724,37413.75436696816,60954.32285061382,5071.308493926066
35.800000000000004,1.0,112419.82858135966,42453.88762254683,3155.8373590575284,-0.09892362278325466,0.00044915759237522363,16771.539912472985,186050.51040024887,4595115.344943339,1.1396525889939697,37412.34442898767,60954.277692504285,5041.543193559155
35.9,1.0,112733.86656835073,42422.72723564648,3155.765384124667,-0.09887870702401713,0.00044668722561715964,16843.51328116626,186440.78693663704,4613759.423637003,1.138858767080577,37410.91940458634,60954.23202628325,5011.807831060141
