time,phi,theta,psi,phi_ref,theta_ref,psi_ref,p,q,r,mx,my,mz,mx_cmd,my_cmd,mz_cmd,mx_rate,my_rate,mz_rate
22.28,-0.06743292489793573,-0.003349466168207941,0.06432975885103653,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09358351434524646,-0.045316565432663915,0.012004417097030462,541.0599161598539,1485.7133628496076,429.8605237924055,-84.53452097194918,1849.6374448833553,295.4341284853045,-6926.1662690511685,4093.368033873571,-1487.5563315647155
22.3,-0.06556036233344553,-0.004231526742388391,0.06463064886332726,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09377390533767199,-0.04468869892789182,0.012154868906979935,402.6838028684931,1566.2102423228926,400.12656037730943,-221.73891302056256,1923.7012686065461,265.8715725149732,-6918.805664568037,4024.8439736642467,-1486.6981707548034
22.32,-0.06368502701669598,-0.005101126332516601,0.06493195774526717,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09388737097602393,-0.044030428879850605,0.012295207081636114,264.5668642465487,1645.2841851483297,370.4305108159626,-358.18137630592935,1996.1100439240672,236.43819325855432,-6905.846931097221,3953.697141271857,-1484.8024780673427
22.34,-0.06180845106438504,-0.00595768197723584,0.0652334919807882,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09392414216938177,-0.043342350394830184,0.01242542033118969,126.82030517903277,1722.8838501997989,340.7925616687429,-493.7544847892905,2066.817613654586,207.15159344402676,-6887.327953375795,3879.9832525734587,-1481.8974573609835
22.36,-0.05993216070941276,-0.006800621128480075,0.06553506329116443,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09388451123914182,-0.042625077997447296,0.012545505026566074,-10.445505297359034,1798.9590429952182,311.23232797450635,-628.352003719295,2135.779110863363,178.02877803645612,-6863.29052381959,3803.759639770965,-1478.011684711828
22.38,-0.058057675113700746,-0.0076293820423319805,0.06583648863724045,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09376883139779225,-0.04187924511043676,0.012655465097070908,-147.12111261432045,1873.4607474601935,281.7688474462169,-761.8689685936905,2202.9509879306165,149.08615572628435,-6833.780365848071,3725.085223248766,-1473.1740264144719
22.400000000000002,-0.05618650519222035,-0.008443414163896129,0.06613759020640675,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09357751618396598,-0.041105503522798584,0.012755311921975434,-283.09805536756977,1946.341157095497,252.4205762796498,-894.2017627674508,2268.2910448708208,120.33954189039306,-6798.847137662466,3644.020481765176,-1467.4135583283557
22.42,-0.05432015244894162,-0.009242178505749387,0.06643819538482365,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09331103885382279,-0.04030452284672935,0.012845064216341004,-418.268943771938,2017.5537055145505,223.20538654413548,-1025.2481936567297,2331.7584568678244,91.80416297584,-6758.544420218411,3560.627420952676,-1460.7594867757157
22.44,-0.05246010782542321,-0.01002514801953335,0.06673813671542295,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.0929699317289732,-0.03947698996377516,0.012924747911387096,-552.5275376185252,2087.0530963168126,194.14056512009356,-1154.9075674894352,2393.3138009914705,63.49466225364284,-6712.929692329362,3474.969540113102,-1453.2410712020962
22.46,-0.05060785056276362,-0.010791807960258073,0.0670372518422675,-0.05235987755982989,0.008726646259971648,0.06981317007977318,0.09255478550128775,-0.03862360846065173,0.012994396029711563,-685.7688235225888,2154.795332262916,165.2428141442624,-1283.080762554857,2452.9190820619115,35.42510688527952,-6662.06429520318,3387.1117973051696,-1444.8875487915573
