time,controller,velocity,velocity_ref,velocity_ref_modified,altitude,altitude_ref,altitude_ref_modified,gamma,alpha,theta,pitch_rate,elevator,elevator_rate,delta_cmd,alpha_cmd,throttle_cmd,throttle_actual,throttle_rate,qbar,heat_proxy,inlet_margin,inlet_margin_active,propulsion_limit_active,alpha_limit_margin
2.2800000000000002,1.0,1707.0814423457105,1760.0,1625.0,29138.270691577396,30000.0,30350.0,-0.01618534347300753,0.13820975929651771,0.12202441582351023,0.017908697837536725,-0.031607286570274874,-0.0035913222604467606,-0.032133304314336794,0.1832595714594046,0.4557626255473762,0.4618826255473762,-0.007946216865185873,31191.237589560347,52404.9462631092,0.13011641047905417,1.0,1.0,0.04504981216288689
2.32,1.0,1707.3618626457119,1760.0,1625.0,29137.16699474091,30000.0,30350.0,-0.01614021876021159,0.1388445575701157,0.12270433880990418,0.016086037039785908,-0.03180826212452803,-0.005371314700668646,-0.032497073517457044,0.1832595714594046,0.45544477687276874,0.46156477687276876,-0.007946216865185873,31206.269209172897,52434.7947489496,0.12647928428711855,1.0,1.0,0.044415013889288896
2.36,1.0,1707.6417814489537,1760.0,1625.0,29136.066237880994,30000.0,30350.0,-0.016093962105245146,0.1394052177919849,0.1233112556867398,0.01425908178266086,-0.032084557917141314,-0.007103327561613781,-0.03293128284704245,0.1832595714594046,0.4551269281981613,0.4612469281981613,-0.007946216865185873,31221.27530178025,52464.59905539153,0.12326693784172132,1.0,1.0,0.043854353667419715
2.4,1.0,1707.9212230237663,1760.0,1625.0,29134.968494599805,30000.0,30350.0,-0.016046721413647703,0.13989180816884592,0.12384508675519826,0.012432425006978196,-0.03243402164259268,-0.008783980105049731,-0.03343348122368529,0.1832595714594046,0.45480907952355387,0.4609290795235539,-0.007946216865185873,31236.25640154821,52494.36108133622,0.12047898034713964,1.0,1.0,0.04336776329055869
2.44,1.0,1708.2002119514925,1760.0,1625.0,29133.873828431784,30000.0,30350.0,-0.015998643976302126,0.14030457831591298,0.1243059343396109,0.0106105734511454,-0.03285436052453086,-0.010410081706508064,-0.034001095497416645,0.1832595714594046,0.45449123084894644,0.46061123084894645,-0.007946216865185873,31251.21309835782,52524.08279437732,0.11811398161354594,1.0,1.0,0.04295499314349163
2.48,1.0,1708.4787730223934,1760.0,1625.0,29132.782292890995,30000.0,30350.0,-0.015949876117705028,0.14064395526411158,0.12469407914640661,0.008797938060603932,-0.03334314961170015,-0.01197863635336928,-0.0346314391081555,0.1832595714594046,0.454173382174339,0.460293382174339,-0.007946216865185873,31266.146033909514,52553.766221171994,0.11616949493396495,1.0,1.0,0.04261561619529303
2.52,1.0,1708.7569311323466,1760.0,1625.0,29131.693931542362,30000.0,30350.0,-0.015900562853062624,0.14091053910060383,0.1250099762475413,0.006998824805052978,-0.03389784025257705,-0.01348684657655466,-0.03532172087146909,0.1832595714594046,0.45385553349973157,0.4599755334997316,-0.007946216865185873,31281.055897743772,52583.413437773546,0.11464208206222379,1.0,1.0,0.042349032358800776
2.56,1.0,1709.0347111809674,1760.0,1625.0,29130.608778096175,30000.0,30350.0,-0.015850847554902674,0.14110509825994508,0.12525425070504248,0.0052174259193520835,-0.03451576872435516,-0.014932116815895525,-0.036069053865439606,0.1832595714594046,0.45353768482512413,0.45965768482512415,-0.007946216865185873,31295.943423204386,52613.02655998679,0.1135273401926371,1.0,1.0,0.04215447319945953
2.6,1.0,1709.312137971758,1760.0,1625.0,29129.526856525226,30000.0,30350.0,-0.01580087162985737,0.14122856448376875,0.12542769285391145,0.0034578115826523464,-0.035194164991955296,-0.016312056220694367,-0.03687046439460572,0.1832595714594046,0.4532198361505167,0.4593398361505167,-0.007946216865185873,31310.809383368996,52642.60773380445,0.11281993083888575,1.0,1.0,0.04203100697563586
2.64,1.0,1709.5892361148578,1760.0,1625.0,29128.448181203847,30000.0,30350.0,-0.015750774206235083,0.14128202746741433,0.1255312532611793,0.001723922048943393,-0.0359301615728399,-0.017624480888406173,-0.03772290100718044,0.1832595714594046,0.45290198747590926,0.4590219874759093,-0.007946216865185873,31325.654586970824,52672.1591259804,0.11251361050657882,1.0,1.0,0.041977543991990274
2.68,1.0,1709.8660299329342,1760.0,1625.0,29127.37275706814,30000.0,30350.0,-0.015700691832961296,0.14126672921237565,0.12556603737941444,1.9560240830720013e-05,-0.03672080248357313,-0.01886741554575569,-0.038623243542034585,0.1832595714594046,0.4525841388013018,0.45870413880130184,-0.007946216865185873,31340.47987433469,52701.682914792866,0.11260126305134197,1.0,1.0,0.041992842247028955
2.72,1.0,1710.142543370709,1760.0,1625.0,29126.300579796614,30000.0,30350.0,-0.015650758190430453,0.14118405810385343,0.12553329991342305,-0.0016516151830205763,-0.03756305224428854,-0.020039094677948704,-0.039568312182277715,0.1832595714594046,0.4522662901266944,0.4583862901266944,-0.007946216865185873,31355.286113348775,52731.18128104699,0.1130749336119411,1.0,1.0,0.04207551335555118
2.7600000000000002,1.0,1710.4187999085823,1760.0,1625.0,29125.23163601037,30000.0,30350.0,-0.01560110381377147,0.14103554273304628,0.1254344389192749,-0.0032860962777205133,-0.03845380491750366,-0.021137963112927663,-0.04055487649266425,0.1832595714594046,0.45194844145208696,0.45806844145208697,-0.007946216865185873,31370.07419549296,52760.65639936329,0.11392586400594812,1.0,1.0,0.04222402872635833
2.8000000000000003,1.0,1710.694822480762,1760.0,1625.0,29124.165903492023,30000.0,30350.0,-0.015551855828989844,0.14082284548411003,0.12527098965512026,-0.00488053177159141,-0.039389893158052504,-0.02216267606888883,-0.04157966441849847,0.1832595714594046,0.4516305927774795,0.45775059277747954,-0.007946216865185873,31384.845031942208,52790.11042979341,0.11514452947375714,1.0,1.0,0.042436725975294576
2.84,1.0,1710.97063339827,1760.0,1625.0,29123.10335142248,30000.0,30350.0,-0.01550313770240931,0.1405477559059539,0.12504461820354468,-0.006431732528905543,-0.04036809725129265,-0.02311209867449011,-0.04263937122420547,0.1832595714594046,0.4513127441028721,0.4574327441028721,-0.007946216865185873,31399.599549763017,52819.54550980249,0.11672067665539523,1.0,1.0,0.042711815553450716
2.88,1.0,1711.2462542771405,1760.0,1625.0,29122.043940634623,30000.0,30350.0,-0.015455069003795459,0.14021218388922693,0.12475711488543156,-0.007936676510986373,-0.041385154117178774,-0.023985304972333144,-0.0437306683502763,0.1832595714594046,0.45099489542826465,0.45711489542826467,-0.007946216865185873,31414.33868821837,52848.96374665087,0.11864336268351006,1.0,1.0,0.043047387570177675
